,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
187,3-Sep-17,0.637426901,350.23,347.48,295.17,"986,266,000","33,059,800,000",-52.31,Decrease
188,4-Sep-17,0.285714286,347.13,295.17,312.99,"1,801,690,000","32,774,000,000",17.82,Increase
189,5-Sep-17,0.436170213,297.57,312.99,334.34,"1,551,050,000","28,100,000,000",21.35,Increase
190,6-Sep-17,0.477272727,313.8,334.34,329.43,"1,058,830,000","29,639,100,000",-4.91,Decrease
191,7-Sep-17,0.730627306,333.52,329.43,296.5,"718,624,000","31,507,500,000",-32.93,Decrease
192,8-Sep-17,0.411111111,329.64,296.5,294.4,"1,098,780,000","31,147,200,000",-2.1,Decrease
193,9-Sep-17,0.222222222,296.17,294.4,288.75,"528,621,000","27,990,500,000",-5.65,Decrease
194,10-Sep-17,0.315589354,294.06,288.75,294.53,"698,326,000","27,797,200,000",5.78,Increase
195,11-Sep-17,0.56884058,289.75,294.53,291.46,"571,307,000","27,394,400,000",-3.07,Decrease
196,12-Sep-17,0.269406393,294.63,291.46,277.11,"753,144,000","27,861,800,000",-14.35,Decrease
197,13-Sep-17,0.230508475,291.12,277.11,213.91,"921,692,000","27,535,700,000",-63.2,Decrease
198,14-Sep-17,0.306818182,276.59,213.91,250.46,"1,184,590,000","26,166,100,000",36.55,Increase
199,15-Sep-17,0.252788104,215.22,250.46,246.52,"1,935,700,000","20,364,900,000",-3.94,Decrease
200,16-Sep-17,0.294117647,250.87,246.52,251.75,"711,737,000","23,742,600,000",5.23,Increase
201,17-Sep-17,0.474747475,245.85,251.75,293.5,"427,452,000","23,272,500,000",41.75,Increase
202,18-Sep-17,0.215189873,252.23,293.5,282.8,"1,127,750,000","23,881,200,000",-10.7,Decrease
203,19-Sep-17,0.468438538,293.66,282.8,283.74,"646,909,000","27,809,300,000",0.94,Increase
204,20-Sep-17,0.852,282.01,283.74,258.58,"421,404,000","26,712,400,000",-25.16,Decrease
205,21-Sep-17,0.826612903,283.26,258.58,264.31,"601,266,000","26,836,000,000",5.73,Increase
