,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
303,5-Jun-16,0.546666667,13.76,13.97,13.93,"11,088,400","1,110,690,000",-0.04,Decrease
304,6-Jun-16,0.6,14,13.93,14.51,"8,720,400","1,130,350,000",0.58,Increase
305,7-Jun-16,0.46,13.95,14.51,14.42,"21,421,600","1,126,330,000",-0.09,Decrease
306,8-Jun-16,0.543624161,14.51,14.42,14.4,"16,941,800","1,172,230,000",-0.02,Decrease
307,9-Jun-16,-0.029411765,14.43,14.4,13.91,"8,256,830","1,166,450,000",-0.49,Decrease
308,10-Jun-16,0.47260274,14.38,13.91,14.19,"11,312,900","1,162,500,000",0.28,Increase
309,11-Jun-16,0.186602871,13.91,14.19,15.74,"12,176,500","1,125,180,000",1.55,Increase
310,12-Jun-16,0.269662921,14.19,15.74,17.6,"38,210,300","1,148,070,000",1.86,Increase
311,13-Jun-16,0.085227273,15.77,17.6,18.89,"38,023,400","1,276,930,000",1.29,Increase
312,14-Jun-16,0.014925373,17.61,18.89,18.35,"64,412,200","1,426,500,000",-0.54,Decrease
313,15-Jun-16,0.175531915,18.91,18.35,20.59,"19,393,400","1,531,790,000",2.24,Increase
314,16-Jun-16,0.455,18.36,20.59,15.38,"38,531,000","1,488,420,000",-5.21,Decrease
315,17-Jun-16,0.32038835,20.65,15.38,11.33,"199,408,000","1,674,540,000",-4.05,Decrease
316,18-Jun-16,0.265625,15.38,11.33,12.23,"133,937,000","1,247,530,000",0.9,Increase
317,19-Jun-16,0.1375,11.17,12.23,11.84,"69,783,600","906,292,000",-0.39,Decrease
318,20-Jun-16,-0.494680851,12.24,11.84,13.31,"58,143,600","993,503,000",1.47,Increase
319,21-Jun-16,0.477987421,11.82,13.31,13.1,"69,245,600","960,014,000",-0.21,Decrease
320,22-Jun-16,0.445054945,13.2,13.1,13.68,"96,994,100","1,072,510,000",0.58,Increase
321,23-Jun-16,-0.093596059,13.22,13.68,14.33,"30,806,400","1,074,240,000",0.65,Increase
322,24-Jun-16,0.032967033,13.68,14.33,14.28,"33,332,900","1,112,590,000",-0.05,Decrease
323,25-Jun-16,-0.073913043,14.3,14.28,13.85,"15,383,100","1,163,530,000",-0.43,Decrease
324,26-Jun-16,0.08974359,14.26,13.85,13.88,"14,747,600","1,160,590,000",0.03,Increase
325,27-Jun-16,0.206666667,13.81,13.88,12.18,"10,994,700","1,124,170,000",-1.7,Decrease
326,28-Jun-16,0.022321429,13.93,12.18,12.61,"43,436,600","1,134,340,000",0.43,Increase
327,29-Jun-16,1.897368421,12.17,12.61,12.46,"26,982,800","991,926,000",-0.15,Decrease
328,30-Jun-16,-0.101265823,12.6,12.46,12.2,"15,801,300","1,027,260,000",-0.26,Decrease
329,1-Jul-16,0.055214724,12.44,12.2,12.13,"17,236,500","1,014,220,000",-0.07,Decrease
330,2-Jul-16,0.125,12.22,12.13,11.72,"8,987,070","996,510,000",-0.41,Decrease
331,3-Jul-16,0.450236967,12.12,11.72,11.47,"10,588,700","989,132,000",-0.25,Decrease
332,4-Jul-16,0.40167364,11.7,11.47,10.61,"12,943,500","954,849,000",-0.86,Decrease
333,5-Jul-16,0.28021978,11.46,10.61,10.53,"45,526,900","935,730,000",-0.08,Decrease
334,6-Jul-16,0.736842105,10.58,10.53,10.11,"18,137,300","864,063,000",-0.42,Decrease
335,7-Jul-16,-0.159763314,10.54,10.11,11.39,"15,407,200","861,144,000",1.28,Increase
336,8-Jul-16,0.357664234,10.12,11.39,10.97,"20,039,800","827,090,000",-0.42,Decrease
337,9-Jul-16,0.268292683,11.42,10.97,10.95,"17,254,800","933,946,000",-0.02,Decrease
338,10-Jul-16,0.564417178,10.96,10.95,10.46,"5,479,240","896,899,000",-0.49,Decrease
339,11-Jul-16,0.220657277,10.94,10.46,10.52,"13,098,000","895,670,000",0.06,Increase
340,12-Jul-16,0.711111111,10.45,10.52,10.5,"11,127,700","855,555,000",-0.02,Decrease
341,13-Jul-16,-0.22754491,10.51,10.5,11.51,"6,715,660","860,770,000",1.01,Increase
342,14-Jul-16,0.230769231,10.6,11.51,11.95,"23,621,900","868,509,000",0.44,Increase
343,15-Jul-16,0.150793651,11.5,11.95,11.65,"26,838,900","942,817,000",-0.3,Decrease
344,16-Jul-16,0.577464789,11.92,11.65,11.16,"10,445,700","977,658,000",-0.49,Decrease
345,17-Jul-16,0.257142857,11.62,11.16,11.03,"17,921,600","953,762,000",-0.13,Decrease
346,18-Jul-16,0.2265625,11.17,11.03,11.62,"15,931,900","917,151,000",0.59,Increase
347,19-Jul-16,0.316239316,11.05,11.62,12.45,"21,730,000","907,135,000",0.83,Increase
348,20-Jul-16,0.129533679,11.59,12.45,12.65,"60,226,100","952,143,000",0.2,Increase
349,21-Jul-16,-0.155251142,12.46,12.65,14.66,"24,636,900","1,024,000,000",2.01,Increase
350,22-Jul-16,0.125,12.66,14.66,14.3,"74,779,500","1,040,640,000",-0.36,Decrease
351,23-Jul-16,0.201183432,14.67,14.3,12.75,"32,489,700","1,206,190,000",-1.55,Decrease
352,24-Jul-16,0.209677419,14.3,12.75,13.84,"77,750,800","1,176,250,000",1.09,Increase
353,25-Jul-16,0.301369863,12.74,13.84,11.99,"36,673,800","1,048,920,000",-1.85,Decrease
354,26-Jul-16,0.171171171,13.82,11.99,12.97,"94,428,800","1,137,660,000",0.98,Increase
355,27-Jul-16,0.117948718,12.05,12.97,12.84,"58,278,800","992,645,000",-0.13,Decrease
356,28-Jul-16,0.406091371,12.98,12.84,12.79,"24,603,900","1,069,560,000",-0.05,Decrease
357,29-Jul-16,-0.245614035,12.84,12.79,12.46,"14,082,300","1,058,220,000",-0.33,Decrease
358,30-Jul-16,0.695906433,12.8,12.46,11.88,"9,047,810","1,055,410,000",-0.58,Decrease
359,31-Jul-16,-0.077419355,12.44,11.88,10.94,"25,441,400","1,026,310,000",-0.94,Decrease
360,1-Aug-16,0.031390135,11.89,10.94,8.79,"23,999,500","981,735,000",-2.15,Decrease
361,2-Aug-16,0.096,10.95,8.79,10.29,"88,803,300","903,978,000",1.5,Increase
362,3-Aug-16,0.572052402,8.88,10.29,11.04,"53,979,400","733,204,000",0.75,Increase
363,4-Aug-16,0.388888889,10.31,11.04,10.93,"38,151,400","851,992,000",-0.11,Decrease
364,5-Aug-16,-0.366197183,11.02,10.93,10.88,"15,487,900","910,856,000",-0.05,Decrease
365,6-Aug-16,0.642384106,10.92,10.88,10.91,"16,712,600","902,752,000",0.03,Increase
366,7-Aug-16,0.470588235,10.86,10.91,11.25,"16,551,000","898,340,000",0.34,Increase
367,8-Aug-16,0.134199134,10.91,11.25,12.24,"14,956,700","903,184,000",0.99,Increase
368,9-Aug-16,0.655405405,11.27,12.24,12.14,"36,656,600","933,431,000",-0.1,Decrease
369,10-Aug-16,0.455284553,12.23,12.14,11.69,"28,096,300","1,012,910,000",-0.45,Decrease
370,11-Aug-16,-0.22815534,12.14,11.69,11.78,"17,505,000","1,005,720,000",0.09,Increase
371,12-Aug-16,0.186813187,11.69,11.78,11.57,"13,690,100","968,865,000",-0.21,Decrease
372,13-Aug-16,0.287179487,11.77,11.57,11.19,"7,539,490","975,999,000",-0.38,Decrease
373,14-Aug-16,0.344827586,11.58,11.19,11.22,"8,680,160","960,855,000",0.03,Increase
374,15-Aug-16,0.41958042,11.2,11.22,11.14,"7,500,840","929,558,000",-0.08,Decrease
375,16-Aug-16,0.080213904,11.23,11.14,10.75,"7,051,510","932,162,000",-0.39,Decrease
376,17-Aug-16,-0.069767442,11.13,10.75,10.76,"8,833,760","924,591,000",0.01,Increase
377,18-Aug-16,0.230046948,10.75,10.76,10.75,"6,935,800","892,903,000",-0.01,Decrease
378,19-Aug-16,0.3,10.75,10.75,11.25,"5,390,850","893,156,000",0.5,Increase
379,20-Aug-16,0.277777778,10.75,11.25,11.18,"7,443,540","893,814,000",-0.07,Decrease
380,21-Aug-16,0.529032258,11.25,11.18,11.12,"4,355,660","936,015,000",-0.06,Decrease
381,22-Aug-16,0.044585987,11.19,11.12,11.03,"6,588,920","930,708,000",-0.09,Decrease
